open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1756684800000,108208.40,108221.40,108168.70,108221.40,87.806,1756684859999,9499660.71900,2278,28.216,3052570.05090,0
1756684860000,108221.40,108294.90,108221.40,108290.00,99.473,1756684919999,10769955.83510,1931,61.642,6673466.25810,0
1756684920000,108290.10,108295.80,108215.20,108215.30,70.919,1756684979999,7678053.26620,1759,20.646,2235216.75720,0
1756684980000,108215.20,108242.00,108188.00,108188.00,64.486,1756685039999,6978757.34010,1841,41.290,4468535.46970,0
1756685040000,108188.00,108188.10,108056.90,108056.90,152.565,1756685099999,16494166.30790,3270,31.843,3442718.51710,0
1756685100000,108057.00,108075.80,108015.50,108030.80,412.419,1756685159999,44557599.61100,5341,139.165,15034775.50610,0
1756685160000,108030.70,108050.00,107926.20,108036.30,670.730,1756685219999,72429386.23870,8895,148.099,15993643.36250,0
1756685220000,108036.30,108121.20,108000.00,108121.20,113.190,1756685279999,12229380.27890,2978,76.039,8215951.55100,0
1756685280000,108121.10,108121.10,108002.90,108003.00,106.809,1756685339999,11540156.24660,2704,73.260,7915033.30960,0
1756685340000,108002.90,108010.80,107936.90,107953.10,253.238,1756685399999,27345723.12040,3444,59.908,6468215.30550,0
1756685400000,107953.20,107996.90,107930.60,107978.50,236.280,1756685459999,25509983.46380,3411,173.650,18748870.69800,0
1756685460000,107978.50,108024.20,107954.70,107979.50,139.570,1756685519999,15070066.45370,2826,76.520,8262266.11130,0
1756685520000,107979.80,107997.60,107953.00,107977.00,59.629,1756685579999,6438284.81680,1884,31.538,3405269.81920,0
1756685580000,107977.00,107999.90,107941.70,107941.70,56.195,1756685639999,6067473.00380,1803,19.458,2101031.26290,0
1756685640000,107941.70,107946.30,107927.30,107927.30,58.165,1756685699999,6278128.13540,1321,22.914,2473266.11170,0
1756685700000,107927.30,107997.50,107892.00,107997.50,249.629,1756685759999,26941994.10650,3724,99.226,10710944.15010,0
1756685760000,107997.40,108043.60,107963.40,107963.40,118.042,1756685819999,12749453.72520,2791,67.602,7301049.78600,0
1756685820000,107963.40,107973.90,107906.30,107943.20,44.096,1756685879999,4759665.72380,1968,22.664,2446248.54450,0
1756685880000,107943.10,107988.90,107913.00,107913.00,63.735,1756685939999,6880263.47940,1847,24.817,2679221.20210,0
1756685940000,107913.10,107919.10,107877.00,107900.40,226.538,1756685999999,24441260.42330,3155,82.092,8856490.02050,0
1756686000000,107900.40,107931.90,107857.10,107867.80,187.359,1756686059999,20214199.61190,2910,60.358,6511790.37720,0
1756686060000,107867.80,107877.60,107762.50,107763.30,364.899,1756686119999,39341365.40170,5030,60.908,6566454.67860,0
1756686120000,107763.30,107819.10,107763.20,107770.60,143.290,1756686179999,15445552.18250,3812,46.226,4982666.60150,0
1756686180000,107770.60,107799.80,107738.90,107765.10,133.046,1756686239999,14337373.43840,3034,48.401,5216147.71970,0
1756686240000,107765.00,107765.10,107662.70,107724.10,220.641,1756686299999,23764880.45520,5063,93.465,10066496.77670,0
1756686300000,107724.10,107746.80,107619.50,107627.00,333.949,1756686359999,35957534.13600,4405,105.196,11327624.45010,0
1756686360000,107627.00,107657.90,107588.00,107607.00,552.425,1756686419999,59453517.62650,8058,313.450,33734240.59170,0
1756686420000,107607.50,107725.30,107607.50,107669.90,210.292,1756686479999,22644992.05170,4238,160.424,17275163.86700,0
1756686480000,107669.90,107788.70,107653.00,107788.70,291.677,1756686539999,31417197.49890,4372,250.460,26977953.61500,0
1756686540000,107788.80,107835.30,107770.50,107780.10,167.312,1756686599999,18036833.40750,3649,97.573,10518370.32430,0
1756686600000,107780.10,107835.20,107770.60,107814.40,172.319,1756686659999,18576022.58280,3717,132.025,14232086.59490,0
1756686660000,107814.10,107814.10,107639.50,107717.40,84.567,1756686719999,9107958.66380,3192,28.555,3075261.02050,0
1756686720000,107717.50,107820.60,107688.60,107820.60,185.756,1756686779999,20017079.86930,3764,160.550,17301438.36160,0
1756686780000,107820.60,107875.00,107774.40,107781.40,153.929,1756686839999,16598627.92390,3756,98.627,10634949.91220,0
1756686840000,107781.00,107782.30,107696.60,107736.40,80.281,1756686899999,8648626.17970,2703,38.364,4132849.01840,0
