open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1701388800000,37716.90,37734.60,37711,37729,184.741,1701388859999,6969186.79070,2115,127.350,4804046.46900,0
1701388860000,37729,37729.10,37710.20,37711,88.307,1701388919999,3331136.46360,1043,16.496,622230.97800,0
1701388920000,37711.10,37711.10,37690.30,37690.30,110.954,1701388979999,4182860.47440,1264,6.252,235697.26660,0
1701388980000,37690.30,37692.40,37690.20,37692.40,50.582,1701389039999,1906485.30090,491,24.065,907022.84150,0
1701389040000,37692.40,37692.40,37677.70,37677.80,180.498,1701389099999,6801944.06510,1474,18.841,710048.89540,0
1701389100000,37677.80,37690.40,37677.80,37690.40,84.618,1701389159999,3188500.40210,817,60.112,2265096.43800,0
1701389160000,37690.40,37690.40,37687.20,37690.40,25.304,1701389219999,953710.67900,443,5.460,205787.08070,0
1701389220000,37690.40,37690.40,37678.10,37678.20,25.359,1701389279999,955663.64340,723,2.145,80836.25000,0
1701389280000,37678.20,37686,37678.10,37683.90,23.327,1701389339999,878990.57430,646,10.019,377532.99830,0
1701389340000,37684,37684,37667.40,37669.90,104.320,1701389399999,3930040.26770,1096,13.090,493135.06790,0
1701389400000,37670,37670,37662,37662.10,62.455,1701389459999,2352315.39850,647,15.559,585997.87250,0
1701389460000,37662,37662,37628,37642.40,990.111,1701389519999,37267606.19660,4534,382.970,14412585.56350,0
1701389520000,37642.40,37646.70,37627.40,37629.90,262.741,1701389579999,9888455.32340,1716,79.649,2997466.68370,0
1701389580000,37630,37642,37629.90,37639.70,75.328,1701389639999,2835026.78400,652,40.372,1519391.62640,0
1701389640000,37639.70,37639.70,37618.50,37618.90,219.596,1701389699999,8262454.83830,1647,35.502,1335650.90400,0
1701389700000,37619,37628.10,37600,37613.30,586.227,1701389759999,22047030.89350,2891,92.876,3493298.17060,0
1701389760000,37613.30,37613.40,37600,37611.50,224.794,1701389819999,8452838.40780,1352,38.105,1432918.27300,0
1701389820000,37611.50,37630.90,37600.20,37630.90,138.877,1701389879999,5223408.45130,1551,77.303,2907686.06820,0
1701389880000,37630.90,37630.90,37607.50,37615.20,201.840,1701389939999,7593654.28690,1589,68.812,2589057.23680,0
1701389940000,37615.20,37626,37615.10,37626,51.718,1701389999999,1945773.06890,627,45.454,1710108.75020,0
1701390000000,37626,37632.40,37625.90,37631.40,89.517,1701390059999,3368465.17090,1070,70.378,2648259.86430,0
1701390060000,37631.30,37631.50,37618.90,37626.40,64.575,1701390119999,2429548.29350,771,31.205,1173948.24170,0
1701390120000,37626.40,37631.20,37623.50,37623.50,54.434,1701390179999,2048263.74660,687,37.915,1426680.06550,0
1701390180000,37623.50,37630,37623.50,37630,21.458,1701390239999,807423.33700,515,15.417,580106.60430,0
1701390240000,37630,37630,37627.60,37629.90,23.774,1701390299999,894585.30330,411,15.949,600140.66810,0
1701390300000,37629.90,37634.40,37629.80,37629.80,41.605,1701390359999,1565652.68700,579,29.388,1105907.78230,0
1701390360000,37629.90,37629.90,37600.30,37611.30,182.479,1701390419999,6863656.48640,1554,36.769,1382800.90170,0
1701390420000,37611.40,37615.80,37600,37615.80,82.688,1701390479999,3109524.76610,1081,31.976,1202552.49780,0
1701390480000,37615.80,37622.70,37615.80,37622.70,48.472,1701390539999,1823414.99860,630,42.317,1591880.87400,0
1701390540000,37622.70,37624.20,37610.10,37619.90,76.112,1701390599999,2863223.44610,826,27.269,1025791.00920,0
1701390600000,37620,37620.90,37600.20,37613.50,75.863,1701390659999,2852963.26060,1353,28.068,1055527.89410,0
1701390660000,37613.50,37630.40,37613.40,37630.40,54.443,1701390719999,2048323.47720,864,49.145,1849009.32940,0
1701390720000,37630.40,37652,37630.30,37640,137.065,1701390779999,5159512.69590,1294,94.947,3573928.41410,0
1701390780000,37640,37654.90,37637.50,37652.10,92.079,1701390839999,3466657.86970,939,70.314,2647223.53110,0
1701390840000,37652.10,37654.90,37634.70,37634.70,38.693,1701390899999,1456789.60340,770,12.479,469867.80370,0
1701390900000,37634.70,37641.60,37620,37634.80,105.457,1701390959999,3968111.84090,1202,57.860,2177082.47690,0
1701390960000,37634.90,37645,37630.70,37630.80,33.906,1701391019999,1276187.16630,912,13.011,489720.58550,0
1701391020000,37630.80,37637.60,37628.90,37631,35.759,1701391079999,1345682.31520,703,15.233,573239.64430,0
1701391080000,37631,37647.10,37631,37647,21.487,1701391139999,808690.52040,703,19.008,715388.83530,0
1701391140000,37647,37654.80,37645.90,37649.60,47.418,1701391199999,1785315.24150,828,32.715,1231720.65130,0
1701391200000,37649.60,37666.60,37649.60,37666.60,138.077,1701391259999,5199580.13040,1188,130.559,4916453.04330,0
